Company Name,Industry,Symbol,Series,ISIN Code
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,EQ,INE878B01027
Kajaria Ceramics Ltd.,CONSUMER GOODS,KAJARIACER,EQ,INE217B01036
Kalpataru Power Transmission Ltd.,POWER,KALPATPOWR,EQ,INE220B01022
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01028
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,POWER,KEC,EQ,INE389H01022
Linde India Ltd.,CHEMICALS,LINDEINDIA,EQ,INE473A01011
Lux Industries Ltd.,TEXTILES,LUXIND,EQ,INE150G01020
Mazagoan Dock Shipbuilders Ltd.,INDUSTRIAL MANUFACTURING,MAZDOCK,EQ,INE249Z01012
Mishra Dhatu Nigam Ltd.,METALS,MIDHANI,EQ,INE099Z01011
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR,EQ,INE191H01014
Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015
RITES Ltd.,SERVICES,RITES,EQ,INE320J01015
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Rossari Biotech Ltd.,CHEMICALS,ROSSARI,EQ,INE02A801020
Route Mobile Ltd.,IT,ROUTE,EQ,INE450U01017
Sequent Scientific Ltd.,PHARMA,SEQUENT,EQ,INE807F01027
Shilpa Medicare Ltd.,PHARMA,SHILPAMED,EQ,INE790G01031
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
Spicejet Ltd.,SERVICES,SPICEJET,EQ,INE285B01017
Sterling And Wilson Solar Ltd.,CONSTRUCTION,SWSOLAR,EQ,INE00M201021
Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST,EQ,INE886H01027
Tanla Platforms Ltd.,IT,TANLA,EQ,INE483C01032
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01022
UTI Asset Management Company Ltd.,FINANCIAL SERVICES,UTIAMC,EQ,INE094J01016
Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB,EQ,INE551W01018
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021
Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031
Westlife Development Ltd.,CONSUMER SERVICES,WESTLIFE,EQ,INE274F01020
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
